Tag,Name,Action
"0008, 1060",Name of Physician(s) Reading Study,empty
"0008, 1062",Physician(s) Reading Study Identification Sequence,removed
"0008, 1070",Operators' Name,empty
"0008, 1072",Operator Identification Sequence,removed
"0038, 0010",Admission ID,empty
"0038, 0011",Issuer of Admission ID,empty
"0038, 0016",Route of Admissions,empty
"0038, 001a",Scheduled Admission Date (RET),empty
"0038, 001b",Scheduled Admission Time (RET),empty
"0038, 001c",Scheduled Discharge Date (RET),empty
"0038, 001d",Scheduled Discharge Time (RET),empty
"0038, 001e",Scheduled Patient Institution Residence (RET),empty
"0038, 0020",Admitting Date,empty
"0038, 0021",Admitting Time,empty
"0038, 0030",Discharge Date (RET),empty
"0038, 0032",Discharge Time (RET),empty
"0038, 0040",Discharge Diagnosis Description (RET),empty
"0038, 0044",Discharge Diagnosis Code Sequence (RET),removed
"0038, 0300",Current Patient Location,empty
"0038, 0400",Patient's Institution Residence,empty
"0038, 0500",Patient State,empty
"0020, 0010",Study ID,removed
"0008, 0050",Accession Number,empty
"0032, 000a",Study Status ID (RET),empty
"0032, 000c",Study Priority ID (RET),empty
"0032, 0012",Study ID Issuer (RET),empty
"0032, 0032",Study Verified Date (RET),empty
"0032, 0033",Study Verified Time (RET),empty
"0032, 0034",Study Read Date (RET),empty
"0032, 0035",Study Read Time (RET),empty
"0032, 1000",Scheduled Study Start Date (RET),empty
"0032, 1001",Scheduled Study Start Time (RET),empty
"0032, 1010",Scheduled Study Stop Date (RET),empty
"0032, 1011",Scheduled Study Stop Time (RET),empty
"0032, 1020",Scheduled Study Location (RET),empty
"0032, 1021",Scheduled Study Location AE Title (RET),empty
"0032, 1030",Reason for Study (RET),empty
"0032, 1031",Requesting Physician Identification Sequence,removed
"0032, 1032",Requesting Physician,empty
"0032, 1033",Requesting Service,empty
"0032, 1040",Study Arrival Date (RET),empty
"0032, 1041",Study Arrival Time (RET),empty
"0032, 1050",Study Completion Date (RET),empty
"0032, 1051",Study Completion Time (RET),empty
"0032, 1055",Study Component Status ID (RET),empty
"0032, 1060",Requested Procedure Description,empty
"0032, 1064",Requested Procedure Code Sequence,removed
"0032, 1070",Requested Contrast Agent,empty
"0032, 4000",Study Comments,empty
"0040, 2008",Order Entered By,empty
"0040, 2009",Order Enterer's Location,empty
"0040, 2010",Order Callback Phone Number,empty
"0040, 0001",Scheduled Station AE Title,empty
"0040, 0006",Scheduled Performing Physician's Name,empty
"0040, 000b",Scheduled Performing Physician Identification Sequence,removed
"0040, 0010",Scheduled Station Name,empty
"0040, 0011",Scheduled Procedure Step Location,empty
"0040, 0012",Pre-Medication,empty
"0040, 0241",Performed Station AE Title,empty
"0040, 0242",Performed Station Name,empty
"0040, 0243",Performed Location,empty
"0040, 0296",Billing Item Sequence,removed
"4008, 0042",Results ID Issuer (RET),empty
"4008, 010c",Interpretation Author (RET),empty
"4008, 0114",Physician Approving Interpretation (RET),empty
"4008, 0119",Distribution Name (RET),empty
"4008, 011a",Distribution Address (RET),empty
"4008, 0202",Interpretation ID Issuer (RET),empty
"0008, 1010",Station Name,empty
"0008, 1040",Institutional Department Name,empty
"0008, 1090",Manufacturer's Model Name,empty
"0018, 1000",Device Serial Number,empty
"0018, 1016",Secondary Capture Device Manufacturer,empty
"0018, 1017",Hardcopy Device Manufacturer,empty
"0018, 1018",Secondary Capture Device Manufacturer's Model Name,empty
"0018, 1019",Secondary Capture Device Software Version(s),empty
"0018, 101a",Hardcopy Device Software Version,empty
"0018, 101b",Hardcopy Device Manufacturer's Model Name,empty
"0018, 1020",Software Version(s),empty
"0018, 1200",Date of Last Calibration,empty
"0018, 1201",Time of Last Calibration,empty
"0018, 700c",Date of Last Detector Calibration,empty
"0018, 700e",Time of Last Detector Calibration,empty
"0018, 7010",Exposures on Detector Since Last Calibration,empty
"0018, 7011",Exposures on Detector Since Manufactured,empty
